Total Number of Aligned Reads:	199998	Total Number of Mapped Genomes:	300							
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|568206	0.7518497927	0.7754877549	155096	0.7730127301	0.0024750248	0.131069933	0.1616761646	32334.9095594325	0.0279452795	0.7317523175
ti|748671	0.0674028196	0.0284452845	5689	0.0284452845	0	0.0672584654	0.0282154687	5643.0373015873	0.0281802818	0.0001750018
ti|83331	0.0586217644	0.0647906479	12958	0.0646306463	0.0001600016	0.0090676643	0.0106991627	2139.8111471862	0.0006600066	0.0634506345
ti|862971	0.0317922101	0.0292502925	5850	0.0292302923	2.000020000200002e-05	0.0196561156	0.0166354373	3327.0541947732	0.0099100991	0.0180751808
ti|525381	0.028357241	0.0268102681	5362	0.0267202672	9.000090000900009e-05	0.0043145811	0.0048010563	960.2016553201	0.0005050051	0.025800258
ti|267747	0.0243365229	0.0268652687	5373	0.0268252683	4.000040000400004e-05	0.0061802658	0.0068833168	1376.6496031746	0.0012150122	0.025100251
ti|176279	0.0239608965	0.0217452175	4349	0.0217452175	0	0.0164121153	0.0144527528	2890.5216558734	0.0199101991	0.0014600146
ti|1088720	0.0041413897	0.0037050371	741	0.0037050371	0	0.0014829161	0.0013001428	260.0259535391	0.0001300013	0.0034550346
