Total Number of Aligned Reads:	199991	Total Number of Mapped Genomes:	236							
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|568206	0.3683343211	0.429644334	85925	0.4269692136	0.0026751204	0.0639540568	0.0942549915	18850.1499999993	0.0176257932	0.3945027526
ti|748671	0.2249879383	0.1082498712	21649	0.1082498712	0	0.2244594139	0.1076796849	21534.9678571429	0.1072948283	0.0006800306
ti|83331	0.1438074072	0.1647874154	32956	0.1644524004	0.0003350151	0.0209526372	0.0306080738	6121.3392857146	0.0017250776	0.1581721177
ti|176279	0.0951627009	0.0989244516	19784	0.0989244516	0	0.0672801269	0.0702973923	14058.8457895906	0.0913691116	0.0053952428
ti|862971	0.0761630512	0.0774084834	15481	0.0773834823	2.500112505062728e-05	0.0479269743	0.0478905855	9577.6860778111	0.0297063368	0.0439419774
ti|1088720	0.0532375403	0.0577125971	11542	0.057667595	4.50020250911291e-05	0.0201026528	0.02184817	4369.4373737377	0.0030251361	0.0526373687
ti|267747	0.0194898291	0.0239760789	4795	0.0239660785	1.0000450020250911e-05	0.0048808765	0.0070153514	1403.0071428571	0.0011150502	0.0215959718
ti|525381	0.0128082186	0.0146856609	2937	0.0146406588	4.50020250911291e-05	0.001854543	0.0033196173	663.8935742574	0.0002300104	0.0141806381
ti|1031709	0.0011475513	0.0001400063	28	0.0001400063	0	0.004562812	0.0058615495	1172.2571428571	0.0008250371	0.0204159187
ti|261594	0.0009485822	0.0116755254	2335	0	0.0116755254	0.0618224002	0.0692232817	13844.0333333244	0	0.4046432089
ti|592021	0.0009485821	0	0	0	0	0.0618224002	0.0692245318	13844.2833333244	0	0.4046432089
ti|198094	0.0009257937	1.0000450020250911e-05	2	5.000225010125456e-06	5.000225010125456e-06	0.0617983199	0.069326453	13864.6666666577	2.500112505062728e-05	0.4043681966
ti|260799	0.0006999697	0.0001200054	24	0.0001200054	0	0.0616859931	0.0693221195	13863.7999999908	0.0001500068	0.4031931437
ti|768494	0.0002950662	0.0002250101	45	0.0002250101	0	0.0610653174	0.0702984968	14059.0666666566	0.0005650254	0.3967528539
ti|336982	0.0002910592	0.0009750439	195	0.0002500113	0.0007250326	0.0179571338	0.0195280871	3905.4416666666	0.0002600117	0.1458515633
