Total Number of Aligned Reads:	199994	Total Number of Mapped Genomes:	216							
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|568206	0.7617884849	0.7820884627	156413	0.7783433503	0.0037451124	0.1329271102	0.1754180959	35082.5666666929	0.033300999	0.7168115043
ti|748671	0.0654814914	0.0279308379	5586	0.0279308379	0	0.0652575922	0.0277361654	5547.0666666667	0.0276258288	0.0001750053
ti|83331	0.0612004781	0.0637919138	12758	0.0635069052	0.0002850086	0.0091954552	0.0120305038	2406.0285714286	0.0007050212	0.0611068332
ti|862971	0.0305269012	0.0282408472	5648	0.0282358471	5.000150004500135e-06	0.0191101301	0.0170578602	3411.46970203	0.0102703081	0.0162504875
ti|525381	0.0261733204	0.0262207866	5244	0.0261407842	8.000240007200216e-05	0.0042354841	0.0060764062	1215.2447873927	0.0004550137	0.0247107413
ti|267747	0.0248219882	0.026600798	5320	0.026565797	3.500105003150095e-05	0.0063281243	0.0080461898	1609.1896825397	0.0014200426	0.0241107233
ti|176279	0.0220598701	0.0212406372	4248	0.0212406372	0	0.0155141326	0.0148007396	2960.0591212881	0.0195205856	0.0009850296
ti|1088720	0.003556801	0.0031200936	624	0.0031200936	0	0.0013240516	0.0011530573	230.6045454545	0.000165005	0.0028200846
